No;TAHUN;KDDEPT;NMDEPT;NMSATKER;KDSATKER;KATEGORI;TEMUAN;NILAI
1;2022;5;005  MAHKAMAH AGUNG;Pengadilan Negeri (PN) Kuala Kurun;402024;TERLAMBAT;"Penyetoran PNBP Teknis/Fungsional dari Kasir tidak langsung disetorkan ke
Kas Negara oleh Bendahara Penerimaan, namun dikompilasi terlebih dahulu";86667
2;2022;5;005  MAHKAMAH AGUNG;Pengadilan Agama (PA) Tulang Bawang Tengah;403416;TERLAMBAT;"Penyetoran PNBP Teknis/Fungsional dari Kasir tidak langsung disetorkan ke
Kas Negara oleh Bendahara Penerimaan, namun dikompilasi terlebih dahulu";86667
3;2022;5;005  MAHKAMAH AGUNG;PA Pringsewu;403414;TERLAMBAT;"Penyetoran PNBP Teknis/Fungsional dari Kasir tidak langsung disetorkan ke
Kas Negara oleh Bendahara Penerimaan, namun dikompilasi terlebih dahulu";86667
4;2022;19;019  KEMENTERIAN PERINDUSTRIAN;SMK-SMTI Makassar;579336;TERLAMBAT;"penyetoran PNBP yang dilaksanakan oleh Bendahara Penerimaan atas
PNBP yang diterima secara tunai tidak seluruhnya dilakukan setiap
akhir hari kerja saat PNBP diterima. Penyetoran PNBP mengalami
keterlambatan 1 s.d. 103 hari ";0
5;2022;2;002  DEWAN PERWAKILAN RAKYAT;WISMA DPR;1012;TERLAMBAT;"terdapat keterlambatan penyetoran Penerimaan wisma ke kas negara
dengan rentang waktu antara 3 s.d. 10 hari kerja dengan total nilai pendapatan sewa sebesar Rp14.062.500";14062500
6;2022;11;011  KEMENTERIAN LUAR NEGERI;KJRI Hamburg;403491;TERLAMBAT;Selama tahun 2022 KJRI Hamburg tidak tertib dalam penyetoran PNBP dan terdapat keterlambatan penyetoran berkisar 1 s.d 11 bulan;
7;2022;90;090  KEMENTERIAN PERDAGANGAN;Balai Besar Pendidikan dan Pelatihan Ekspor Indonesia;547931;TERLAMBAT;"Keterlambatan Penyetoran PNBP pada Balai Sertifikasi, Balai Pengujian Alat Ukur, Alat Takar, Alat Timbang, dan Alat Perlengkapan, dan Balai Besar Pendidikan dan Pelatihan Ekspor Indonesia Sebesar
Rp814.777.100,00 ";814777100
8;2022;87;087  ARSIP NASIONAL REPUBLIK INDONESIA;Pusdiklat dan Jasa Kearsipan;418934;TERLAMBAT;"Penerimaan Negara Bukan Pajak (PNBP) Tahun 2022 Terlambat Disetor ke Kas
Negara";1122580000
9;2022;22;022  KEMENTERIAN PERHUBUNGAN;Kantor UPP Kelas III Kuala Semboja;413426;TERLAMBAT;Hasil pemeriksaan terhadap pembayaran PNBP penggunaan perairan diketahui keterlambatan pembayaran;4320000
10;2022;22;022  KEMENTERIAN PERHUBUNGAN;Kantor UPP Kelas III Sangkulirang;289822;TERLAMBAT;Hasil pemeriksaan terhadap pembayaran PNBP penggunaan perairan diketahui keterlambatan pembayaran;12374050
11;2022;22;022  KEMENTERIAN PERHUBUNGAN;Kantor KSOP Kelas IV Pulang Pisau;287143;TERLAMBAT;Hasil pemeriksaan terhadap pembayaran PNBP penggunaan perairan diketahui keterlambatan pembayaran;22194200
12;2022;22;022  KEMENTERIAN PERHUBUNGAN;Kantor KSOP Kelas I Banten;413670;TERLAMBAT;Hasil pemeriksaan terhadap pembayaran PNBP penggunaan perairan diketahui keterlambatan pembayaran;136977389
13;2022;22;022  KEMENTERIAN PERHUBUNGAN;Kantor KSOP Kelas III Tanjung Wangi;413730;TERLAMBAT;Hasil pemeriksaan terhadap pembayaran PNBP pendapatan konsesi diketahui keterlambatan pembayaran;4255461
14;2022;22;022  KEMENTERIAN PERHUBUNGAN;Kantor KSOP Kelas III Kupang;522582;TERLAMBAT;Hasil pemeriksaan terhadap pembayaran PNBP pendapatan konsesi diketahui keterlambatan pembayaran;8353172
15;2022;22;022  KEMENTERIAN PERHUBUNGAN;Kantor UPBU Mozes Kilangin Timika;466272;TERLAMBAT;" Pada Kantor UPBU Mozes Kilangin Timika surat penagihan yang
diterbitkan lebih dari 17 hari setelah pelayanan diberikan (sudah dibayarkan)";0
16;2022;22;022  KEMENTERIAN PERHUBUNGAN;Kantor UPBU Mopah Merauke;288571;TERLAMBAT;"Kantor UPBU Mopah Merauke
lebih dari 10 hari setelah pelayanan (sudah dibayarkan)";0
17;2022;22;022  KEMENTERIAN PERHUBUNGAN;Kantor UPBU Rendani Manokwar;288571;TERLAMBAT;" Kantor UPBU Rendani Manokwari lebih dari 30
hari setelah pelayanan (sudah dibayarkan)";0
18;2022;83;083  BADAN INFORMASI GEOSPASIAL (BIG);big;17216;TERLAMBAT;"a. Waktu Pembayaran Termin I dan II Kontrak Swakelola dengan Pemerintah Kota Tanjungbalai tidak sesuai ketentuan kontrak;
b. Kontrak tidak mengatur klausul tentang konsekuensi atas pembayaran melewati batas waktu yang diperjanjikan;
c. Beberapa Klausul pada Dokumen Kontrak dan Dokumen Pendukungnya Salah Penulisan yang Dapat Berpotensi Perbedaan Penafsiran";300167500
19;2022;10;010  KEMENTERIAN DALAM NEGERI;Ditjen Bina Bangda;39729;TERLAMBAT;PNBP Tidak Disetorkan pada Hari yang Sama: Sewa Gedung untuk Pernikahan, Koperasi dan Kantin;0
20;2022;10;010  KEMENTERIAN DALAM NEGERI;IPDN Jatinangor;403200;TERLAMBAT;PNBP Tidak Disetorkan pada Hari yang Sama: Pendapatan Pendidikan Mahasiswa Pascasarjana;0
21;2022;10;010  KEMENTERIAN DALAM NEGERI;Balai Pemdes Yogyakarta;28449;TERLAMBAT;PNBP Tidak Disetorkan pada Hari yang Sama: Balai Pemdes Yogyakarta;0
22;2022;13;013  KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA RI;Ditjen PAS;409263;TERLAMBAT;Empat paket pekerjaan pada Direktorat Jenderal (Ditjen) Pemasyarakatan (PAS);1453198319
23;2022;13;013  KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA RI;Ditjen KI;97102;TERLAMBAT;Satu paket pekerjaan pada Ditjen Kekayaan Intelektual (KI) sebesar;15300000
24;2022;13;013  KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA RI;Ditjen Imigrasi;409272;TERLAMBAT;Keterlambatan Pekerjaan Pengadaan pada Dua paket pekerjaan pada Ditjen Imigrasi;287422000
25;2022;13;013  KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA RI;Rutan Kelas IIB Dumai;408454;TERLAMBAT;Keterlambatan Pekerjaan Pengadaan pada Rutan Kelas IIB Dumai;34793142
26;2022;13;013  KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA RI;"Kantor Wilayah (Kanwil) Kemenkumham
Sumatera Utara ";408763;TERLAMBAT;Keterlambatan Pekerjaan Pengadaan pada Dua paket pekerjaan;237537533
