No.,Tahun,BA K/L,Kode Temuan,Jenis Temuan,Penjelasan,Nilai Temuan (Rp)
1,2018,5,1,PNBP terlambat/belum disetor ke Kas Negara,,169352224 
2,2018,18,1,PNBP terlambat/belum disetor ke Kas Negara,,6895038806 
3,2018,20,1,PNBP terlambat/belum disetor ke Kas Negara,,415600000 
4,2018,23,1,PNBP terlambat/belum disetor ke Kas Negara,,659793400 
5,2018,24,1,PNBP terlambat/belum disetor ke Kas Negara,,1192730663 
6,2018,25,1,PNBP terlambat/belum disetor ke Kas Negara,,15482218290 
7,2018,29,1,PNBP terlambat/belum disetor ke Kas Negara,,9986812964 
8,2018,32,1,PNBP terlambat/belum disetor ke Kas Negara,,1162030230 
9,2018,41,1,PNBP terlambat/belum disetor ke Kas Negara,,1835029708 
10,2018,57,1,PNBP terlambat/belum disetor ke Kas Negara,,304160000 
11,2018,84,1,PNBP terlambat/belum disetor ke Kas Negara,,377497554 
12,2018,5,1,PNBP terlambat/belum disetor ke Kas Negara,,194611132 
13,2018,23,1,PNBP terlambat/belum disetor ke Kas Negara,,1761323890 
14,2018,24,1,PNBP terlambat/belum disetor ke Kas Negara,,0 
15,2018,24,1,PNBP terlambat/belum disetor ke Kas Negara,,504850000 
16,2018,25,1,PNBP terlambat/belum disetor ke Kas Negara,,177194937 
17,2018,27,1,PNBP terlambat/belum disetor ke Kas Negara,,878300000 
18,2018,60,1,PNBP terlambat/belum disetor ke Kas Negara,,4891764894 
19,2018,5,2,PNBP kurang pungut,,20783635 
20,2018,5,2,PNBP kurang pungut,,915595 
21,2018,18,2,PNBP kurang pungut,,274316432 
22,2018,20,2,PNBP kurang pungut,,0 
23,2018,25,2,PNBP kurang pungut,,657635000 
24,2018,59,2,PNBP kurang pungut,,131035000 
25,2018,64,2,PNBP kurang pungut,,10931090 
26,2018,112,2,PNBP kurang pungut,,119722777 
27,2018,112,2,PNBP kurang pungut,,203332121 
28,2018,10,3,PNBP tidak dipungut,,0 
29,2018,23,3,PNBP tidak dipungut,,61512667 
30,2018,25,3,PNBP tidak dipungut,,0 
31,2018,33,3,PNBP tidak dipungut,,15001500000 
32,2018,44,3,PNBP tidak dipungut,,258211857 
33,2018,44,3,PNBP tidak dipungut,,2949462042 
34,2018,57,3,PNBP tidak dipungut,,0 
35,2018,75,3,PNBP tidak dipungut,,708374632 
36,2018,81,3,PNBP tidak dipungut,,982081781 
37,2018,81,3,PNBP tidak dipungut,,1124083676 
38,2018,112,3,PNBP tidak dipungut,,64766735 
39,2018,23,4,Pungutan yang belum memiliki dasar hukum dan digunakan langsung ,,327188834 
40,2018,24,4,Pungutan yang belum memiliki dasar hukum dan digunakan langsung ,,200323900 
