"KDSATKER","KDDEPT","KDAKUN","REALISASI"
"099354","000","425121",0
"416650","000","425121",0
"099070","000","425122",0
"097450","000","425131",0
"097471","000","425131",0
"097535","000","425131",0
"097556","000","425131",0
"097603","000","425131",0
"097666","000","425131",0
"097844","000","425131",0
"097908","000","425131",0
"098036","000","425131",0
"098057","000","425131",0
"098082","000","425131",0
"098111","000","425131",0
"098125","000","425131",0
"098192","000","425131",0
"098221","000","425131",0
"098260","000","425131",0
"098277","000","425131",0
"098281","000","425131",0
"098303","000","425131",0
"098331","000","425131",0
"098387","000","425131",0
"098640","000","425131",0
"098696","000","425131",0
"098722","000","425131",0
"098750","000","425131",0
"098764","000","425131",0
"098771","000","425131",0
"098849","000","425131",0
"098860","000","425131",0
"098984","000","425131",0
"099024","000","425131",0
"099141","000","425131",0
"099155","000","425131",0
"099201","000","425131",0
"099308","000","425131",0
"099361","000","425131",0
"099418","000","425131",0
"099581","000","425131",0
"099659","000","425131",0
"099663","000","425131",0
"099670","000","425131",0
"099769","000","425131",0
"099780","000","425131",0
"099883","000","425131",0
"099905","000","425131",0
"287228","000","425131",0
"307250","000","425131",0
"307576","000","425131",0
"307729","000","425131",0
"307818","000","425131",0
"307911","000","425131",0
"308166","000","425131",0
"400038","000","425131",0
"400050","000","425131",0
"400110","000","425131",0
"400483","000","425131",0
"400580","000","425131",0
"400678","000","425131",0
"401472","000","425131",0
"401560","000","425131",0
"401905","000","425131",0
"401910","000","425131",0
"401990","000","425131",0
"402236","000","425131",0
"402298","000","425131",0
"402302","000","425131",0
"402449","000","425131",0
"402622","000","425131",0
"402669","000","425131",0
"402710","000","425131",0
"402820","000","425131",0
"402851","000","425131",0
"402902","000","425131",0
"418663","000","425131",0
"418827","000","425131",0
"427630","000","425131",0
"477224","000","425131",0
"477352","000","425131",0
"498605","000","425131",0
"526767","000","425131",0
"531891","000","425131",0
"576260","000","425131",0
"578822","000","425131",0
"604201","000","425131",0
"614670","000","425131",0
"614890","000","425131",0
"644925","000","425131",0
"663157","000","425131",0
"663182","000","425131",0
"664522","000","425131",0
"664539","000","425131",0
"664540","000","425131",0
"670210","000","425131",0
"673034","000","425131",0
"673041","000","425131",0
"681450","000","425131",0
"689309","000","425131",0
"099083","000","425764",0
"099362","000","425764",0
"526722","000","425764",0
"526722","000","425765",0
"099422","000","425811",0
"401902","000","425811",0
"097450","000","425911",0
"097713","000","425911",0
"099773","000","425911",0
"307509","000","425911",0
"400110","000","425911",0
"400342","000","425911",0
"401915","000","425911",0
"401962","000","425911",0
"663157","000","425911",0
"099362","000","425912",0
"400342","000","425912",0
"401107","000","425912",0
"548940","000","425912",0
"663157","000","425912",0
"098277","000","425991",0
"000017","001","425121",32999999
"000017","001","425122",37999999
"000017","001","425131",123756125
"000017","001","425791",107402593
"000021","001","425791",206024477
"000021","001","425793",40446000
"000021","001","425811",1052424
"000017","001","425911",119973760
"000017","001","425912",312265864
"000021","001","425912",527674745
"000017","001","425913",80500000
"000017","001","425934",22500000
"001012","002","425121",300000
"001012","002","425129",1986169322
"001012","002","425131",3487826215
"001030","002","425131",1500000
"001012","002","425811",219758603
"001012","002","425839",7892454
"001012","002","425911",103322853
"001030","002","425911",7111528
"001012","002","425912",758944876
"001030","002","425912",1013547171
"001012","002","425913",170690327
"001012","002","425931",26643645
"001012","002","425934",0
"001030","002","425934",87448300
"001012","002","425999",733333
"001030","002","425999",0
"662752","004","425121",820000
"003030","004","425122",20820000
"003051","004","425122",0
"418553","004","425122",38000000
"418554","004","425122",0
"445243","004","425122",42000000
"445268","004","425122",0
"450780","004","425122",3541568
"450799","004","425122",141245678
"579220","004","425122",99511110
"631648","004","425122",0
"662752","004","425122",4653899
"890572","004","425122",33798979
"890614","004","425122",0
"890620","004","425122",0
"890676","004","425122",0
"003019","004","425129",250890600
"418554","004","425129",8350000
"445243","004","425129",0
"445252","004","425129",0
"445280","004","425129",28800000
"445299","004","425129",0
"450800","004","425129",10650999
"450819","004","425129",7770000
"631648","004","425129",53488888
"662752","004","425129",0
"890594","004","425129",0
"890614","004","425129",22305555
"890645","004","425129",86500000
"890660","004","425129",16599999
"003019","004","425131",0
"003030","004","425131",78402072
"003044","004","425131",0
"003051","004","425131",2029120
"445237","004","425131",0
"445243","004","425131",12125032
"445280","004","425131",0
"445299","004","425131",0
"450780","004","425131",10243400
"450799","004","425131",0
"450800","004","425131",0
"450819","004","425131",13758000
"450825","004","425131",0
"579213","004","425131",12880000
"579220","004","425131",74272000
"579234","004","425131",86307055
"662745","004","425131",0
"662752","004","425131",0
"890572","004","425131",11267022
"890594","004","425131",35188620
"890608","004","425131",17648994
"890620","004","425131",0
"890639","004","425131",12737320
"890645","004","425131",0
"890660","004","425131",82012700
"890676","004","425131",12827650
"890682","004","425131",0
"003019","004","425151",0
"631648","004","425151",3924474785
"631648","004","425281",0
"003019","004","425413",0
"631648","004","425421",17093811324
"003019","004","425429",17100000
"003019","004","425691",0
"690624","004","425691",1797378715
"003019","004","425791",25148025
"003019","004","425792",10800000
"450774","004","425811",669850
"890614","004","425811",327600
"890676","004","425811",672400
"890682","004","425811",4281818
"003019","004","425911",217346800
"003024","004","425911",859074646
"003030","004","425911",1731245
"003044","004","425911",63
"003051","004","425911",12430000
"418553","004","425911",507
"445237","004","425911",808450
"445243","004","425911",879050
"445252","004","425911",18827500
"445268","004","425911",12
"445274","004","425911",36495028
"445299","004","425911",5110503
"450774","004","425911",100
"450780","004","425911",1080810
