"KDSATKER","MAX(REVISION_NUMBER)"
"000017",9
"000021",9
"001012",11
"001030",15
"003019",10
"003024",12
"003030",4
"003044",6
"003051",7
"004028",5
"005016",15
"005017",3
"005018",4
"005020",5
"005037",5
"005041",2
"005058",3
"005062",7
"005079",4
"005083",6
"005090",2
"005105",2
"005112",2
"005126",5
"005130",2
"005147",3
"005151",6
"005168",4
"005189",5
"005193",2
"005201",4
"005215",3
"005222",5
"005236",5
"005240",3
"005257",2
"005261",3
"005278",5
"005282",2
"005299",5
"005304",7
"005311",3
"005325",3
"005332",5
"005346",5
"005350",5
"005367",4
"005371",7
"005388",5
"005392",3
"005400",3
"005414",3
"005421",4
"005435",5
"005442",5
"005456",4
"005460",7
"005477",4
"005481",2
"005498",6
"005503",4
"005510",4
"005524",3
"005531",4
"005545",6
"005552",5
"005566",3
"005570",6
"005587",4
"005591",3
"005609",6
"005613",3
"005620",5
"005634",5
"005641",4
"005655",6
"005662",3
"005676",4
"005680",6
"005697",4
"005702",7
"005719",6
"005723",4
"005730",5
"005744",3
"005751",6
"005765",5
"005772",4
"005786",6
"005790",5
"005808",5
"005812",5
"005829",4
"005833",3
"005840",5
"005854",4
"005861",5
"005875",3
"005882",3
"005896",5
"005901",2
"005918",4
"005922",3
"005939",4
"005943",5
"005950",5
"005964",5
"005971",3
"005985",3
"005992",6
"006004",3
"006011",6
"006025",2
"006032",2
"006046",5
"006050",6
"006067",3
"006071",6
"006088",6
"006092",5
"006100",5
"006114",5
"006121",4
"006142",3
"006156",6
"006160",5
"006177",4
"006181",6
"006198",6
"006203",7
"006210",4
"006224",3
"006231",8
"006245",4
"006252",3
"006266",3
"006270",2
"006287",5
"006291",4
"006309",3
"006313",8
"006320",5
"006334",5
"006341",6
"006355",2
"006362",4
"006376",4
"006380",4
"006397",5
"006402",6
"006419",3
"006423",2
"006430",2
"006444",6
"006451",3
"006465",3
"006472",4
"006486",4
"006490",3
"006508",4
"006512",4
"006529",4
"006533",4
"006540",4
"006554",4
"006561",5
"006575",3
"006582",5
"006596",4
"006601",4
"006618",2
"006622",5
"006639",3
"006643",2
"006650",6
"006664",12
"006671",4
"006685",6
"006692",4
"006707",4
"006728",3
"006749",3
"006753",4
"006760",5
"006774",4
"006781",4
"006795",3
"006800",2
"006817",7
"006821",5
"006838",7
"006842",5
"006859",4
"006863",6
"006870",6
"006884",5
"006906",6
"006910",7
"006927",5
"006931",5
"006948",4
"006969",7
"006973",6
"006980",4
"006994",6
"007009",4
"007013",3
"007020",4
"007034",3
"007041",2
"007055",4
"007062",3
"007076",3
"007080",7
"007097",2
"007102",4
"007119",3
"007123",3
"007130",3
"007144",2
