"kdsatker","kddept","kdmak","TARGET","volume"
"000017","001","425122",1000,1.000
"000017","001","425131",205758000,1.000
"001012","002","425129",530000000,530000000.000
"001012","002","425131",894089000,894088874.000
"003019","004","425129",400000000,1.000
"003019","004","425131",37500000,1.000
"003019","004","425151",8000000,6.000
"003019","004","425413",50000000,1.000
"003019","004","425429",614400000,192.000
"003019","004","425691",1774959000,1.000
"003030","004","425131",46262000,1.000
"003044","004","425131",64700000,1.000
"003051","004","425122",9800000,1.000
"003051","004","425131",2435000,1.000
"004028","005","425233",12000000,97.000
"004028","005","425239",93090000,9309.000
"005016","006","425131",550000000,1.000
"005020","006","425122",10000000,10000000.000
"005020","006","425129",5000000,5000000.000
"005020","006","425131",75000000,75000000.000
"005020","006","425139",5000000,5000000.000
"005020","006","425999",5000000,5000000.000
"005037","006","425122",5000000,5000000.000
"005037","006","425129",5000000,5000000.000
"005037","006","425131",30000000,30000000.000
"005037","006","425139",5000000,5000000.000
"005037","006","425233",500000000,500000000.000
"005037","006","425236",250000000000,250000000000.000
"005037","006","425237",15000000000,15000000000.000
"005037","006","425238",10000000000,10000000000.000
"005037","006","425239",2950000000,2950000000.000
"005037","006","425241",12000000000,12000000000.000
"005037","006","425242",1500000000,1500000000.000
"005037","006","425243",40600000000,40600000000.000
"005037","006","425244",200000000,200000000.000
"005037","006","425245",25000000000,25000000000.000
"005037","006","425246",5800000000,5800000000.000
"005037","006","425247",100000000,100000000.000
"005037","006","425248",3000000000,3000000000.000
"005037","006","425249",1500000000,1500000000.000
"005037","006","425999",10000000,10000000.000
"005041","006","425122",2000000,2000000.000
"005041","006","425129",2000000,2000000.000
"005041","006","425131",100000000,100000000.000
"005041","006","425139",5000000,5000000.000
"005041","006","425233",500000000,500000000.000
"005041","006","425236",1500000000,1500000000.000
"005041","006","425237",12500000000,12500000000.000
"005041","006","425238",3000000000,3000000000.000
"005041","006","425239",150000000,150000000.000
"005041","006","425241",1500000000,1500000000.000
"005041","006","425242",1000000000,1000000000.000
"005041","006","425243",10000000000,10000000000.000
"005041","006","425244",200000000,200000000.000
"005041","006","425245",500000000,500000000.000
"005041","006","425246",500000000,500000000.000
"005041","006","425247",100000000,100000000.000
"005041","006","425248",5000000,5000000.000
"005041","006","425249",2500000000,2500000000.000
"005041","006","425791",2000000,2000000.000
"005041","006","425792",2000000,2000000.000
"005041","006","425811",1000000,1000000.000
"005041","006","425991",5000000,5000000.000
"005041","006","425999",10000000,10000000.000
"005058","006","425122",5000000,5000000.000
"005058","006","425129",1000000,1000000.000
"005058","006","425131",25000000,25000000.000
"005058","006","425139",1000000,1000000.000
"005058","006","425233",40000000,40000000.000
"005058","006","425236",280000000,280000000.000
"005058","006","425237",4000000000,4000000000.000
"005058","006","425238",1800000000,1800000000.000
"005058","006","425239",800000000,800000000.000
"005058","006","425241",5000000,5000000.000
"005058","006","425242",5000000,1.000
"005058","006","425243",5000000,5000000.000
"005058","006","425244",5000000,5000000.000
"005058","006","425245",50000000,50000000.000
"005058","006","425246",50000000,50000000.000
"005058","006","425247",2000000,2000000.000
"005058","006","425248",1000000,1000000.000
"005058","006","425249",1200000000,1200000000.000
"005058","006","425999",1000000,1000000.000
"005062","006","425122",5500000,5500000.000
"005062","006","425129",5500000,5500000.000
"005062","006","425131",33000000,33000000.000
"005062","006","425139",5500000,5500000.000
"005062","006","425233",880000000,880000000.000
"005062","006","425236",8050000000,8050000000.000
"005062","006","425237",24750000000,24750000000.000
"005062","006","425238",7150000000,7150000000.000
"005062","006","425239",2965000000,2965000000.000
"005062","006","425241",8600000000,8600000000.000
"005062","006","425242",1650000000,1650000000.000
"005062","006","425243",28200000000,28200000000.000
"005062","006","425244",220000000,220000000.000
"005062","006","425245",11150000000,11150000000.000
"005062","006","425246",6400000000,6400000000.000
"005062","006","425247",110000000,110000000.000
"005062","006","425248",2200000000,2200000000.000
"005062","006","425249",1650000000,1650000000.000
"005062","006","425999",11000000,11000000.000
"005079","006","425122",1000000,1000000.000
"005079","006","425129",1000000,1000000.000
"005079","006","425131",1000000,1000000.000
"005079","006","425139",1000000,1000000.000
"005079","006","425233",100000000,100000000.000
"005079","006","425236",80000000000,80000000000.000
"005079","006","425237",10000000000,10000000000.000
"005079","006","425238",5000000000,5000000000.000
"005079","006","425239",2875000000,2875000000.000
"005079","006","425241",10000000000,10000000000.000
"005079","006","425242",1000000,1000000.000
"005079","006","425243",20000000000,20000000000.000
"005079","006","425244",1000000,1000000.000
"005079","006","425245",15000000000,15000000000.000
"005079","006","425246",6800000000,6800000000.000
"005079","006","425247",1000000,1000000.000
"005079","006","425248",1000000,1000000.000
"005079","006","425249",1000000,1000000.000
"005079","006","425811",1000000,1000000.000
"005079","006","425999",11000000,11000000.000
"005083","006","425122",20000000,1.000
"005083","006","425129",10000000,1.000
"005083","006","425131",50000000,1.000
"005090","006","425131",4000000,1.000
"005090","006","425233",60000000,1.000
"005090","006","425236",2540000000,1.000
"005090","006","425237",1100000000,1.000
"005090","006","425238",350000000,1.000
"005090","006","425239",1240000000,1.000
"005090","006","425241",2600000000,1.000
"005090","006","425243",5400000000,1.000
"005090","006","425246",3100000000,1.000
"005090","006","425249",130000000,1.000
"005105","006","425131",3000000,1.000
"005105","006","425233",10200000,1.000
"005105","006","425236",28400000,1.000
"005105","006","425237",2200000000,1.000
"005105","006","425238",697400000,1.000
"005105","006","425239",246100000,1.000
"005105","006","425241",42200000,1.000
"005105","006","425243",1900000000,1.000
"005105","006","425246",181000000,181000000.000
"005105","006","425249",8600000,8600000.000
"005112","006","425131",400000,1.000
"005112","006","425233",12100000,1.000
"005112","006","425236",15500000,1.000
"005112","006","425237",800000000,1.000
"005112","006","425238",100000000,1.000
"005112","006","425239",10500000,1.000
"005112","006","425243",50000000,1.000
"005112","006","425249",7000000,1.000
"005126","006","425131",46600000,1.000
"005126","006","425233",11400000,1.000
"005126","006","425236",15000000,1.000
"005126","006","425237",464000000,1.000
"005126","006","425238",161600000,1.000
"005126","006","425243",3000000,1.000
"005126","006","425249",3100000,1.000
"005130","006","425131",6000000,1.000
"005130","006","425233",10000000,1.000
"005130","006","425236",90000000,1.000
"005130","006","425237",550000000,1.000
"005130","006","425238",50000000,1.000
"005130","006","425249",5000000,1.000
"005147","006","425131",11900000,1.000
"005147","006","425233",10500000,1.000
"005147","006","425236",16000000,1.000
"005147","006","425237",650000000,1.000
"005147","006","425238",250000000,1.000
"005147","006","425239",4000000,1.000
"005147","006","425243",400000000,1.000
"005151","006","425131",3200000,1.000
"005151","006","425233",14600000,1.000
"005151","006","425236",3650000000,1.000
"005151","006","425237",3100000000,1.000
"005151","006","425238",69000000,1.000
"005151","006","425239",2190000000,1.000
"005151","006","425243",6500000000,1.000
"005151","006","425246",3800000000,1.000
"005151","006","425249",76000000,1.000
"005168","006","425131",3500000,1.000
"005168","006","425233",15000000,1.000
"005168","006","425236",9050000000,1.000
"005168","006","425237",1750000000,1.000
"005168","006","425238",350000000,1.000
"005168","006","425239",4835000000,1.000
"005168","006","425249",50000000,1.000
"005189","006","425131",1600000,1600000.000
"005189","006","425233",6000000,1.000
"005189","006","425236",76500000,1.000
"005189","006","425237",400000000,1.000
"005189","006","425243",150000000,1.000
"005189","006","425246",110000000,1.000
"005189","006","425249",10000000,1.000
"005193","006","425129",15000000,1.000
"005193","006","425131",4000000,1.000
"005193","006","425233",6500000,1.000
"005193","006","425236",45000000,1.000
"005193","006","425237",600000000,1.000
"005193","006","425238",240000000,1.000
"005193","006","425243",5500000,1.000
"005193","006","425249",5000000,1.000
"005201","006","425131",4000000,1.000
"005201","006","425233",40000000,1.000
"005201","006","425236",45000000,1.000
"005201","006","425237",2000000000,1.000
"005201","006","425238",45000000,1.000
"005201","006","425239",4500000,1.000
"005201","006","425243",100000000,1.000
"005201","006","425246",150000000,1.000
"005201","006","425249",4000000,1.000
"005215","006","425131",1200000,1.000
"005215","006","425233",13000000,1.000
"005215","006","425236",20000000,1.000
"005215","006","425237",650000000,1.000
"005215","006","425243",300000000,1.000
"005222","006","425131",2000000,1.000
"005222","006","425233",32000000,1.000
"005222","006","425236",13400000000,1.000
"005222","006","425237",1500000000,1.000
"005222","006","425238",16000000,1.000
"005222","006","425249",29000000,1.000
"005236","006","425131",2100000,1.000
"005236","006","425233",90000000,1.000
"005236","006","425236",17500000,1.000
"005236","006","425237",3750000000,1.000
"005236","006","425238",50000000,1.000
"005236","006","425249",2000000,1.000
"005240","006","425131",7700000,1.000
"005240","006","425233",49000000,1.000
"005240","006","425236",16400000,1.000
"005240","006","425237",222400000,1.000
"005240","006","425238",32300000,1.000
"005240","006","425241",3900000,1.000
"005240","006","425243",159300000,1.000
"005240","006","425246",181500000,1.000
"005257","006","425131",3200000,1.000
"005257","006","425233",24600000,1.000
"005257","006","425236",17300000,1.000
"005257","006","425237",408000000,1.000
"005257","006","425238",55250000,1.000
"005257","006","425243",110250000,1.000
"005257","006","425249",500000,1.000
"005261","006","425233",4000000,1.000
"005261","006","425236",5000000,1.000
"005261","006","425237",50000000,1.000
"005261","006","425238",10000000,1.000
"005261","006","425243",5000000,1.000
"005261","006","425246",5000000,1.000
"005261","006","425249",2000000,1.000
"005278","006","425131",5000000,1.000
"005278","006","425233",7000000,1.000
"005278","006","425236",11000000,1.000
"005278","006","425237",251000000,1.000
"005278","006","425238",66000000,1.000
"005278","006","425243",71000000,1.000
"005278","006","425246",6000000,1.000
"005278","006","425249",8000000,1.000
"005282","006","425131",1300000,1.000
"005282","006","425233",8600000,1.000
"005282","006","425236",112000000,1.000
"005282","006","425237",1900000000,1.000
"005282","006","425238",28900000,1.000
"005282","006","425239",19500000,1.000
"005282","006","425243",200000000,1.000
"005282","006","425249",23400000,1.000
"005299","006","425131",12000000,1.000
"005299","006","425233",8500000,1.000
"005299","006","425236",30000000,1.000
"005299","006","425237",350000000,1.000
"005299","006","425238",130000000,1.000
"005299","006","425243",400000000,1.000
"005299","006","425249",8500000,1.000
"005304","006","425131",44000000,1.000
"005311","006","425131",15800000,1.000
"005311","006","425233",70800000,1.000
"005311","006","425236",52500000,1.000
"005311","006","425237",500000000,1.000
"005311","006","425238",70800000,1.000
"005311","006","425246",181100000,1.000
"005311","006","425249",27100000,1.000
"005325","006","425131",5900000,1.000
"005325","006","425233",11800000,1.000
"005325","006","425236",31500000,1.000
"005325","006","425237",177000000,1.000
"005325","006","425238",35400000,1.000
"005325","006","425249",4900000,1.000
"005332","006","425131",4200000,1.000
"005332","006","425233",11800000,1.000
"005332","006","425236",31500000,1.000
"005332","006","425237",542800000,1.000
"005332","006","425238",47200000,1.000
"005332","006","425249",195500000,1.000
"005346","006","425131",7700000,1.000
"005346","006","425233",11800000,1.000
"005346","006","425236",31500000,1.000
"005346","006","425237",188800000,1.000
"005346","006","425238",59000000,1.000
"005346","006","425249",55400000,1.000
"005350","006","425131",3300000,1.000
"005350","006","425233",23600000,1.000
"005350","006","425236",10500000,1.000
"005350","006","425237",424800000,1.000
"005350","006","425238",59000000,1.000
"005350","006","425249",7100000,1.000
"005367","006","425131",5000000,1.000
"005367","006","425233",11800000,1.000
"005367","006","425236",10500000,1.000
"005367","006","425237",200600000,1.000
"005367","006","425238",11800000,1.000
"005367","006","425249",14900000,1.000
"005371","006","425131",4300000,1.000
"005371","006","425233",11800000,1.000
"005371","006","425236",10500000,1.000
"005371","006","425237",354000000,1.000
"005371","006","425238",5900000,1.000
"005371","006","425249",20000000,1.000
"005388","006","425131",1400000,1.000
"005388","006","425233",11800000,1.000
"005388","006","425236",10500000,1.000
"005388","006","425237",448400000,1.000
"005388","006","425238",23600000,1.000
"005388","006","425249",17200000,1.000
"005392","006","425131",3900000,1.000
"005392","006","425233",11800000,1.000
"005392","006","425236",10500000,1.000
"005392","006","425237",590000000,1.000
"005392","006","425238",11800000,1.000
"005392","006","425249",12500000,1.000
"005400","006","425131",6800000,1.000
"005400","006","425233",11800000,1.000
"005400","006","425236",10500000,1.000
"005400","006","425237",200600000,1.000
"005400","006","425238",35400000,1.000
"005400","006","425249",6100000,1.000
"005414","006","425131",1800000,1.000
"005414","006","425233",23600000,1.000
"005414","006","425236",10500000,1.000
"005414","006","425237",672600000,1.000
"005414","006","425238",35400000,1.000
"005414","006","425249",4700000,1.000
"005421","006","425131",700000,1.000
"005421","006","425233",11800000,1.000
"005421","006","425236",10500000,1.000
"005421","006","425237",283200000,1.000
"005421","006","425238",5900000,1.000
"005421","006","425249",1500000,1.000
"005435","006","425131",4400000,1.000
"005435","006","425233",11800000,1.000
"005435","006","425236",10500000,1.000
"005435","006","425237",212400000,1.000
"005435","006","425238",23600000,1.000
"005435","006","425249",44600000,1.000
"005442","006","425131",2400000,1.000
"005442","006","425233",23600000,1.000
"005442","006","425236",10500000,1.000
"005442","006","425237",472000000,1.000
"005442","006","425238",23600000,1.000
"005442","006","425249",6700000,1.000
"005456","006","425131",5200000,1.000
"005456","006","425233",11800000,1.000
"005456","006","425236",10500000,1.000
"005456","006","425237",542800000,1.000
"005456","006","425238",35400000,1.000
"005456","006","425249",3800000,1.000
"005460","006","425131",700000,1.000
"005460","006","425233",23600000,1.000
"005460","006","425236",10500000,1.000
"005460","006","425237",849600000,1.000
"005460","006","425238",11800000,1.000
"005460","006","425249",14300000,1.000
"005477","006","425131",2700000,1.000
"005477","006","425233",11800000,1.000
"005477","006","425236",10500000,1.000
"005477","006","425237",212400000,1.000
"005477","006","425238",5900000,1.000
"005477","006","425249",21000000,1.000
"005481","006","425131",800000,1.000
"005481","006","425236",5250000,1.000
"005481","006","425249",354000,1.000
"005498","006","425131",4700000,1.000
"005498","006","425233",23600000,1.000
"005498","006","425236",21000000,1.000
"005498","006","425237",507400000,1.000
"005498","006","425238",11800000,1.000
"005498","006","425249",10300000,1.000
"005503","006","425131",4800000,1.000
"005503","006","425233",11800000,1.000
"005503","006","425236",10500000,1.000
"005503","006","425237",342200000,1.000
"005503","006","425238",59000000,1.000
"005503","006","425249",3600000,1.000
"005510","006","425131",5300000,1.000
"005510","006","425233",23600000,1.000
"005510","006","425236",10500000,1.000
"005510","006","425237",271400000,1.000
"005510","006","425238",59000000,1.000
"005510","006","425249",7900000,1.000
"005524","006","425131",4500000,1.000
"005524","006","425233",11800000,1.000
"005524","006","425236",10500000,1.000
"005524","006","425237",342200000,1.000
"005524","006","425238",23600000,1.000
"005524","006","425249",18100000,1.000
"005531","006","425131",13500000,1.000
"005531","006","425233",23600000,1.000
"005531","006","425236",31500000,1.000
"005531","006","425237",991200000,1.000
"005531","006","425238",59000000,1.000
"005531","006","425249",2100000,1.000
"005545","006","425131",4100000,1.000
"005545","006","425233",23600000,1.000
"005545","006","425236",10500000,1.000
"005545","006","425237",601800000,1.000
"005545","006","425238",59000000,1.000
"005545","006","425249",1400000,1.000
"005552","006","425131",4300000,1.000
"005552","006","425233",23600000,1.000
"005552","006","425236",10500000,1.000
"005552","006","425237",578200000,1.000
"005552","006","425238",11800000,1.000
"005552","006","425249",2400000,1.000
"005566","006","425131",9600000,1.000
"005566","006","425233",4700000,1.000
"005566","006","425236",10500000,1.000
"005566","006","425237",519200000,1.000
"005566","006","425238",11800000,1.000
"005566","006","425249",28400000,1.000
"005570","006","425131",7000000,1.000
"005570","006","425233",23600000,1.000
"005570","006","425236",10500000,1.000
"005570","006","425237",330400000,1.000
"005570","006","425238",23600000,1.000
"005570","006","425249",8200000,1.000
"005587","006","425131",10700000,1.000
