"KDSATKER","KDDEPT","KDMAK","JML_BILLING","JML_LAYANAN","REAL_VOLUME"
"097450","000","425131",22,1,113
"097450","000","425911",1,1,2
"097471","000","425131",1,1,1
"097535","000","425131",1,1,1
"097556","000","425131",1,1,1
"097603","000","425131",1,1,1
"097666","000","425131",1,1,1
"097713","000","425911",1,1,1
"097844","000","425131",1,1,1
"097908","000","425131",1,1,1
"098036","000","425131",1,1,1
"098057","000","425131",2,1,2
"098082","000","425131",1,1,1
"098111","000","425131",2,1,2
"098125","000","425131",1,1,2
"098192","000","425131",1,1,1
"098221","000","425131",1,1,1
"098260","000","425131",1,1,1
"098277","000","425131",1,1,1
"098277","000","425991",1,1,1
"098281","000","425131",2,1,2
"098303","000","425131",2,1,2
"098331","000","425131",2,1,4
"098387","000","425131",2,1,2
"098640","000","425131",1,1,1
"098696","000","425131",1,1,1
"098722","000","425131",1,1,1
"098750","000","425131",2,1,2
"098764","000","425131",2,1,2
"098771","000","425131",1,1,1
"098849","000","425131",2,1,2
"098860","000","425131",1,1,1
"098984","000","425131",1,1,1
"099024","000","425131",1,1,1
"099070","000","425122",1,1,1
"099083","000","425764",1,1,1
"099141","000","425131",1,1,1
"099155","000","425131",1,1,2
"099201","000","425131",1,1,1
"099308","000","425131",1,1,2
"099354","000","425121",1,1,1
"099361","000","425131",3,1,4
"099362","000","425764",1,1,1
"099362","000","425912",2,1,3
"099418","000","425131",2,1,2
"099422","000","425811",1,1,1
"099581","000","425131",1,1,1
"099659","000","425131",1,1,745100
"099663","000","425131",1,1,1
"099670","000","425131",2,1,2
"099769","000","425131",2,1,4
"099773","000","425911",1,1,1
"099780","000","425131",5,1,7
"099883","000","425131",2,1,2
"099905","000","425131",1,1,1
"287228","000","425131",1,1,1
"307250","000","425131",1,1,1
"307509","000","425911",1,1,1
"307576","000","425131",1,1,3
"307729","000","425131",1,1,1
"307818","000","425131",1,1,1
"307911","000","425131",2,1,2
"308166","000","425131",7,1,10
"400038","000","425131",1,1,1
"400050","000","425131",1,1,1
"400110","000","425131",3,1,3
"400110","000","425911",1,1,1
"400342","000","425911",1,1,1
"400342","000","425912",1,1,1
"400483","000","425131",1,1,1
"400580","000","425131",1,1,1
"400678","000","425131",1,1,1
"401107","000","425912",1,1,1
"401472","000","425131",2,1,2
"401560","000","425131",1,1,12
"401902","000","425811",1,1,1
"401905","000","425131",1,1,3
"401910","000","425131",1,1,1
"401915","000","425911",2,1,2
"401962","000","425911",1,1,1
"401990","000","425131",1,1,1
"402236","000","425131",14,1,14
"402298","000","425131",1,1,1
"402302","000","425131",2,1,3
"402449","000","425131",4,1,4
"402622","000","425131",1,1,2
"402669","000","425131",1,1,1
"402710","000","425131",1,1,1
"402820","000","425131",2,1,2
"402851","000","425131",2,1,11
"402902","000","425131",2,1,2
"416650","000","425121",1,1,1
"418663","000","425131",1,1,1
"418827","000","425131",1,1,1
"427630","000","425131",1,1,1
"477224","000","425131",2,1,2
"477352","000","425131",1,1,1
"498605","000","425131",1,1,1
"526722","000","425764",1,1,1
"526722","000","425765",1,1,1
"526767","000","425131",2,1,2
"531891","000","425131",2,1,2
"548940","000","425912",1,1,1
"576260","000","425131",1,1,2
"578822","000","425131",1,1,1
"604201","000","425131",2,1,2
