"KDSATKER","KDDEPT","KDMAK","JML_BILLING","JML_LAYANAN","REAL_VOLUME"
A01002,"000","425314",6,4,6
A01002,"000","425513",3,1,62040
A01002,"000","425514",6,2,107402
A01004,"000","425314",22,5,22
A01004,"000","425513",11,1,423622
A01004,"000","425514",22,3,577413
A01006,"000","425314",10,4,10
A01006,"000","425513",5,1,116162
A01006,"000","425514",10,3,193025
A01007,"000","425314",10,6,10
A01007,"000","425513",3,1,2863
A01007,"000","425514",6,2,48531
A01011,"000","425314",2,2,2
A01011,"000","425513",1,1,17025
A01011,"000","425514",2,2,32145
A01012,"000","425314",4,4,4
A01012,"000","425513",2,1,8036
A01012,"000","425514",4,3,37895
A01013,"000","425314",8,6,8
A01013,"000","425513",4,1,83095
A01013,"000","425514",8,2,143162
A01014,"000","425314",4,2,4
A01014,"000","425513",2,1,3198
A01014,"000","425514",4,2,33373
"000017","001","425121",1,1,32999999
"000017","001","425122",1,1,37999999
"000017","001","425131",27,1,0
"000017","001","425791",33,1,0
"000017","001","425911",5,1,0
"000017","001","425912",14,1,0
"000017","001","425934",12,1,0
"000021","001","425791",24,1,0
"000021","001","425793",4,1,0
"000021","001","425912",95,1,0
"001012","002","425121",1,1,0
"001012","002","425129",15,1,3084141993
"001012","002","425131",1032,1,2
"001012","002","425811",6,1,0
"001012","002","425839",6,1,0
"001012","002","425911",2,1,0
"001012","002","425912",63,1,0
"001012","002","425913",39,1,1000000
"001012","002","425931",5,1,0
"001012","002","425934",2,1,0
"001012","002","425999",2,1,0
"001030","002","425131",1,1,0
"001030","002","425911",1,1,0
"001030","002","425912",247,1,0
"001030","002","425934",10,1,0
"003019","004","425129",8,1,0
"003019","004","425429",3,2,47
"003019","004","425791",12,1,0
"003019","004","425792",12,1,0
"003019","004","425911",48,1,0
"003019","004","425912",18,1,0
"003019","004","425931",11,1,0
"003019","004","425999",1,1,0
"003024","004","425911",258,1,0
"003024","004","425912",46,1,1
"003024","004","425999",31,1,1
"003030","004","425122",1,1,0
"003030","004","425131",2,1,2
"003030","004","425911",1,1,1
"003044","004","425129",1,1,0
"003051","004","425122",1,1,0
"003051","004","425912",1,1,0
"418553","004","425122",1,1,0
"418554","004","425129",1,1,0
"418554","004","425912",1,1,0
"445237","004","425129",1,1,21465507
"445237","004","425911",1,1,23
"445237","004","425912",1,1,2
"445243","004","425122",1,1,1
"445243","004","425131",32,1,184
"445243","004","425911",4,1,4
"445252","004","425129",1,1,6211100
"445252","004","425911",1,1,1
"445252","004","425912",1,1,1
"445268","004","425911",1,1,1
"445274","004","425911",1,1,0
"445274","004","425912",24,1,24
"445280","004","425129",1,1,0
"445280","004","425912",8,1,8
"445299","004","425122",2,1,0
"445299","004","425911",2,1,755504
"450774","004","425811",1,1,133970000
"450780","004","425122",2,1,1
"450780","004","425131",2,1,3
"450780","004","425911",1,1,0
"450799","004","425122",2,1,0
"450799","004","425911",1,1,0
"450799","004","425912",4,1,0
"450800","004","425129",1,1,10650999
"450819","004","425129",1,1,7770000
"450825","004","425911",1,1,0
"579213","004","425131",1,1,1
"579213","004","425911",2,1,2
"579213","004","425912",4,1,4
"579220","004","425122",1,1,0
"579220","004","425131",1,1,1
"579234","004","425131",2,1,2
